pos1;pos2;pos3;pos4;pos5;pos6;pos7;pos8;pos9;classe
1;-1;-1;1;1;1;0;0;-1;Fim_de_jogo
1;-1;-1;1;1;0;1;0;-1;Fim_de_jogo
1;-1;-1;1;0;1;1;0;-1;Fim_de_jogo
1;-1;0;1;0;0;1;0;-1;Fim_de_jogo
1;-1;-1;1;0;0;1;1;-1;Fim_de_jogo
1;-1;-1;1;0;0;1;0;0;Fim_de_jogo
1;-1;0;0;1;-1;1;-1;1;Fim_de_jogo
1;-1;-1;0;1;-1;1;1;-1;Fim_de_jogo
1;-1;-1;-1;1;-1;1;1;1;Fim_de_jogo
1;-1;-1;0;1;-1;1;0;1;Fim_de_jogo
1;-1;0;-1;1;-1;1;0;1;Fim_de_jogo
1;-1;-1;0;1;-1;0;1;1;Fim_de_jogo
1;-1;0;-1;1;-1;0;1;1;Fim_de_jogo
1;-1;0;0;1;-1;-1;1;1;Fim_de_jogo
1;-1;0;0;1;-1;0;0;1;Fim_de_jogo
1;-1;-1;-1;1;1;-1;1;1;Fim_de_jogo
1;-1;-1;0;1;0;-1;1;1;Fim_de_jogo
1;-1;0;-1;1;0;-1;1;1;Fim_de_jogo
1;-1;0;0;1;0;-1;0;1;Fim_de_jogo
1;-1;0;0;1;1;-1;-1;1;Fim_de_jogo
1;-1;-1;0;1;1;-1;0;1;Fim_de_jogo
1;-1;0;-1;1;1;-1;0;1;Fim_de_jogo
1;-1;0;0;1;0;0;-1;1;Fim_de_jogo
1;-1;-1;1;1;1;1;-1;-1;Fim_de_jogo
1;-1;-1;-1;1;1;1;-1;1;Fim_de_jogo
1;-1;-1;0;1;1;0;-1;1;Fim_de_jogo
1;-1;0;-1;1;1;0;-1;1;Fim_de_jogo
1;-1;-1;0;1;0;1;-1;1;Fim_de_jogo
1;-1;0;-1;1;0;1;-1;1;Fim_de_jogo
1;-1;-1;-1;1;1;1;1;-1;Fim_de_jogo
1;-1;-1;-1;1;1;0;0;1;Fim_de_jogo
1;-1;-1;-1;1;0;1;0;1;Fim_de_jogo
1;-1;-1;-1;1;0;0;1;1;Fim_de_jogo
1;-1;-1;0;1;0;0;0;1;Fim_de_jogo
1;-1;0;-1;1;0;0;0;1;Fim_de_jogo
1;-1;-1;0;-1;1;-1;1;1;Fim_de_jogo
1;-1;-1;0;-1;1;1;-1;1;Fim_de_jogo
1;-1;0;-1;-1;1;1;-1;1;Fim_de_jogo
1;-1;0;0;-1;1;0;-1;1;Fim_de_jogo
1;-1;0;0;-1;1;1;-1;0;Fim_de_jogo
1;-1;-1;-1;-1;1;1;1;1;Fim_de_jogo
1;-1;0;0;-1;0;1;-1;1;Fim_de_jogo
1;-1;-1;-1;0;0;1;1;1;Fim_de_jogo
1;-1;-1;0;-1;0;1;1;1;Fim_de_jogo
1;-1;-1;0;0;-1;1;1;1;Fim_de_jogo
1;-1;0;-1;-1;0;1;1;1;Fim_de_jogo
1;-1;0;-1;0;-1;1;1;1;Fim_de_jogo
1;-1;0;0;-1;-1;1;1;1;Fim_de_jogo
1;0;-1;1;-1;1;-1;0;0;Fim_de_jogo
1;0;-1;1;-1;1;-1;-1;1;Fim_de_jogo
1;1;-1;1;-1;1;-1;-1;0;Fim_de_jogo
1;1;-1;1;-1;1;1;-1;-1;Fim_de_jogo
1;0;-1;1;-1;1;1;-1;0;Fim_de_jogo
1;1;-1;1;-1;1;-1;0;-1;Fim_de_jogo
1;0;-1;1;-1;1;1;0;-1;Fim_de_jogo
1;0;-1;1;-1;1;-1;1;-1;Fim_de_jogo
1;0;-1;1;-1;0;1;0;0;Fim_de_jogo
1;1;-1;1;-1;-1;0;1;-1;Fim_de_jogo
1;1;-1;1;-1;0;-1;1;-1;Fim_de_jogo
1;0;-1;1;-1;0;1;1;-1;Fim_de_jogo
1;0;-1;1;-1;-1;1;1;0;Fim_de_jogo
1;0;-1;1;-1;-1;-1;1;1;Fim_de_jogo
1;1;-1;1;-1;-1;-1;1;0;Fim_de_jogo
1;0;-1;1;-1;0;-1;1;0;Fim_de_jogo
1;0;-1;1;-1;-1;1;0;1;Fim_de_jogo
1;1;-1;1;-1;-1;-1;0;1;Fim_de_jogo
1;1;-1;1;-1;-1;1;-1;1;Fim_de_jogo
1;0;-1;1;-1;0;-1;0;1;Fim_de_jogo
1;1;-1;1;-1;0;-1;-1;1;Fim_de_jogo
1;0;-1;1;-1;0;1;-1;1;Fim_de_jogo
1;1;-1;1;-1;-1;1;0;0;Fim_de_jogo
1;1;-1;1;-1;0;-1;0;0;Fim_de_jogo
1;1;-1;1;-1;0;1;-1;0;Fim_de_jogo
1;1;-1;1;-1;0;1;0;-1;Fim_de_jogo
1;0;-1;1;0;-1;1;0;0;Fim_de_jogo
1;0;-1;1;0;-1;0;1;-1;Fim_de_jogo
1;1;-1;1;0;-1;-1;1;-1;Fim_de_jogo
1;0;-1;1;1;-1;-1;1;-1;Fim_de_jogo
1;1;-1;1;1;-1;-1;-1;1;Fim_de_jogo
1;0;-1;1;1;-1;-1;0;1;Fim_de_jogo
1;0;-1;1;1;-1;0;-1;1;Fim_de_jogo
1;0;-1;1;0;-1;1;-1;1;Fim_de_jogo
1;1;-1;1;1;-1;-1;0;-1;Fim_de_jogo
1;1;-1;1;1;-1;0;-1;-1;Fim_de_jogo
1;1;-1;1;0;-1;1;-1;0;Fim_de_jogo
1;1;-1;1;0;-1;0;0;-1;Fim_de_jogo
1;0;-1;1;1;-1;1;-1;0;Fim_de_jogo
1;0;-1;1;1;-1;0;0;-1;Fim_de_jogo
1;0;-1;1;1;0;-1;-1;1;Fim_de_jogo
1;1;-1;1;1;0;-1;-1;-1;Fim_de_jogo
1;1;-1;1;0;1;-1;-1;-1;Fim_de_jogo
1;0;-1;1;1;1;-1;-1;0;Fim_de_jogo
1;0;-1;1;1;1;-1;0;-1;Fim_de_jogo
1;1;-1;1;0;0;1;-1;-1;Fim_de_jogo
1;0;-1;1;1;1;0;-1;-1;Fim_de_jogo
1;0;-1;1;1;0;1;-1;-1;Fim_de_jogo
1;0;-1;1;0;1;1;-1;-1;Fim_de_jogo
1;0;-1;1;0;0;1;-1;0;Fim_de_jogo
1;0;-1;1;0;0;1;0;-1;Fim_de_jogo
1;0;-1;0;1;-1;1;-1;1;Fim_de_jogo
1;1;-1;-1;1;-1;1;-1;1;Fim_de_jogo
1;1;-1;0;1;-1;1;-1;-1;Fim_de_jogo
1;0;-1;0;1;-1;1;0;-1;Fim_de_jogo
1;0;-1;-1;1;-1;1;1;-1;Fim_de_jogo
1;0;-1;-1;1;-1;1;0;1;Fim_de_jogo
1;1;-1;-1;1;-1;1;0;-1;Fim_de_jogo
1;0;-1;0;1;-1;0;1;-1;Fim_de_jogo
1;0;-1;-1;1;-1;0;1;1;Fim_de_jogo
1;1;-1;-1;1;-1;0;1;0;Fim_de_jogo
1;0;-1;0;1;-1;-1;1;1;Fim_de_jogo
1;1;-1;0;1;-1;-1;1;0;Fim_de_jogo
1;0;-1;0;1;-1;0;0;1;Fim_de_jogo
1;1;-1;-1;1;-1;0;0;1;Fim_de_jogo
1;1;-1;0;1;-1;-1;0;1;Fim_de_jogo
1;1;-1;0;1;-1;0;-1;1;Fim_de_jogo
1;1;-1;0;1;-1;0;0;-1;Fim_de_jogo
1;1;-1;0;1;0;-1;1;-1;Fim_de_jogo
1;1;-1;-1;1;1;-1;1;-1;Fim_de_jogo
1;0;-1;-1;1;0;-1;1;1;Fim_de_jogo
1;1;-1;-1;1;0;-1;1;0;Fim_de_jogo
1;0;-1;0;1;0;-1;0;1;Fim_de_jogo
1;1;-1;-1;1;1;-1;-1;1;Fim_de_jogo
1;1;-1;-1;1;0;-1;0;1;Fim_de_jogo
1;1;-1;0;1;0;-1;-1;1;Fim_de_jogo
1;1;-1;0;1;1;-1;-1;-1;Fim_de_jogo
1;0;-1;0;1;1;-1;-1;1;Fim_de_jogo
1;0;-1;-1;1;1;-1;0;1;Fim_de_jogo
1;0;-1;0;1;0;0;-1;1;Fim_de_jogo
1;1;-1;-1;1;1;1;-1;-1;Fim_de_jogo
1;1;-1;-1;1;0;0;-1;1;Fim_de_jogo
1;0;-1;-1;1;1;0;-1;1;Fim_de_jogo
1;0;-1;-1;1;0;1;-1;1;Fim_de_jogo
1;1;-1;-1;1;0;0;1;-1;Fim_de_jogo
1;0;-1;-1;1;0;0;0;1;Fim_de_jogo
1;1;-1;0;-1;1;-1;1;-1;Fim_de_jogo
1;0;-1;-1;-1;1;-1;1;1;Fim_de_jogo
1;1;-1;-1;-1;1;-1;1;0;Fim_de_jogo
1;0;-1;0;-1;1;-1;1;0;Fim_de_jogo
1;1;-1;-1;-1;1;-1;0;1;Fim_de_jogo
1;0;-1;0;-1;1;-1;0;1;Fim_de_jogo
1;1;-1;0;-1;1;-1;-1;1;Fim_de_jogo
1;1;-1;0;-1;1;-1;0;0;Fim_de_jogo
1;1;-1;-1;-1;1;1;-1;1;Fim_de_jogo
1;1;-1;-1;-1;1;1;1;-1;Fim_de_jogo
1;1;-1;-1;0;-1;1;1;-1;Fim_de_jogo
1;1;-1;0;-1;-1;1;1;-1;Fim_de_jogo
1;1;-1;0;0;-1;1;0;-1;Fim_de_jogo
1;0;-1;0;0;-1;1;1;-1;Fim_de_jogo
1;0;-1;-1;-1;0;1;1;1;Fim_de_jogo
1;1;-1;-1;-1;-1;1;1;0;Fim_de_jogo
1;0;-1;-1;0;-1;1;1;1;Fim_de_jogo
1;1;-1;-1;-1;-1;1;0;1;Fim_de_jogo
1;0;-1;0;-1;-1;1;1;1;Fim_de_jogo
1;1;-1;0;0;-1;0;1;-1;Fim_de_jogo
1;1;-1;-1;-1;-1;0;1;1;Fim_de_jogo
1;1;-1;-1;-1;0;-1;1;1;Fim_de_jogo
1;1;-1;-1;1;-1;-1;1;1;Fim_de_jogo
1;1;-1;0;-1;-1;-1;1;1;Fim_de_jogo
1;0;-1;0;-1;0;-1;1;1;Fim_de_jogo
1;1;-1;0;-1;0;-1;1;0;Fim_de_jogo
1;1;-1;0;-1;0;-1;0;1;Fim_de_jogo
1;0;0;-1;1;-1;1;-1;1;Fim_de_jogo
1;1;1;-1;1;-1;1;-1;-1;Fim_de_jogo
1;0;1;-1;1;-1;1;-1;0;Fim_de_jogo
1;0;1;-1;1;-1;1;0;-1;Fim_de_jogo
1;1;0;-1;1;-1;0;1;-1;Fim_de_jogo
1;1;1;-1;1;-1;-1;1;-1;Fim_de_jogo
1;0;0;-1;1;-1;-1;1;1;Fim_de_jogo
1;1;0;-1;1;-1;-1;1;0;Fim_de_jogo
1;0;0;-1;1;-1;0;0;1;Fim_de_jogo
1;1;0;-1;1;-1;-1;0;1;Fim_de_jogo
1;1;1;-1;1;-1;-1;0;0;Fim_de_jogo
1;1;0;-1;1;-1;0;-1;1;Fim_de_jogo
1;1;1;-1;1;-1;0;-1;0;Fim_de_jogo
1;1;1;-1;1;-1;0;0;-1;Fim_de_jogo
1;0;1;-1;1;-1;-1;0;1;Fim_de_jogo
1;0;1;-1;1;-1;0;-1;1;Fim_de_jogo
1;1;0;-1;1;0;-1;1;-1;Fim_de_jogo
1;0;0;-1;1;0;-1;0;1;Fim_de_jogo
1;1;0;-1;1;0;-1;-1;1;Fim_de_jogo
1;1;1;-1;1;0;-1;-1;0;Fim_de_jogo
1;1;0;-1;1;1;-1;-1;-1;Fim_de_jogo
1;1;1;-1;1;0;-1;0;-1;Fim_de_jogo
1;0;1;-1;1;0;-1;-1;1;Fim_de_jogo
1;0;1;-1;1;1;-1;-1;-1;Fim_de_jogo
1;0;0;-1;1;1;-1;-1;1;Fim_de_jogo
1;0;0;-1;1;0;0;-1;1;Fim_de_jogo
1;1;1;-1;1;0;0;-1;-1;Fim_de_jogo
1;0;1;-1;1;0;1;-1;-1;Fim_de_jogo
1;1;1;-1;-1;1;-1;1;-1;Fim_de_jogo
1;1;1;-1;-1;1;-1;-1;1;Fim_de_jogo
1;0;1;-1;-1;1;-1;0;1;Fim_de_jogo
1;0;1;-1;0;1;-1;-1;1;Fim_de_jogo
1;1;1;-1;-1;1;-1;0;0;Fim_de_jogo
1;1;1;-1;0;1;-1;-1;0;Fim_de_jogo
1;1;1;-1;0;1;-1;0;-1;Fim_de_jogo
1;0;1;-1;-1;1;0;-1;1;Fim_de_jogo
1;1;1;-1;-1;1;1;-1;-1;Fim_de_jogo
1;1;1;-1;-1;1;0;-1;0;Fim_de_jogo
1;1;1;-1;0;1;0;-1;-1;Fim_de_jogo
1;1;1;-1;-1;1;0;0;-1;Fim_de_jogo
1;1;0;-1;-1;-1;1;-1;1;Fim_de_jogo
1;0;1;-1;-1;-1;1;-1;1;Fim_de_jogo
1;1;1;-1;-1;0;1;-1;0;Fim_de_jogo
1;1;1;-1;0;-1;1;-1;0;Fim_de_jogo
1;1;1;-1;0;0;1;-1;-1;Fim_de_jogo
1;1;0;-1;-1;-1;1;1;-1;Fim_de_jogo
1;1;1;-1;-1;0;1;0;-1;Fim_de_jogo
1;1;1;-1;0;-1;1;0;-1;Fim_de_jogo
1;0;1;-1;-1;-1;1;1;-1;Fim_de_jogo
1;0;0;-1;-1;-1;1;1;0;Fim_de_jogo
1;0;0;-1;-1;-1;1;0;1;Fim_de_jogo
1;1;0;-1;-1;-1;1;0;0;Fim_de_jogo
1;0;1;-1;-1;-1;1;0;0;Fim_de_jogo
1;1;1;-1;-1;0;0;1;-1;Fim_de_jogo
1;1;1;-1;0;-1;0;1;-1;Fim_de_jogo
1;1;1;-1;0;0;-1;1;-1;Fim_de_jogo
1;0;0;-1;-1;-1;0;1;1;Fim_de_jogo
1;1;0;-1;-1;-1;-1;1;1;Fim_de_jogo
1;0;1;-1;-1;-1;-1;1;1;Fim_de_jogo
1;1;0;-1;-1;-1;0;1;0;Fim_de_jogo
1;1;1;-1;-1;0;-1;1;0;Fim_de_jogo
1;0;1;-1;-1;-1;0;1;0;Fim_de_jogo
1;1;1;-1;0;-1;-1;1;0;Fim_de_jogo
1;1;0;-1;-1;-1;0;0;1;Fim_de_jogo
1;1;1;-1;-1;0;-1;0;1;Fim_de_jogo
1;1;1;-1;-1;0;0;-1;1;Fim_de_jogo
1;0;1;-1;-1;-1;0;0;1;Fim_de_jogo
1;1;1;-1;0;-1;-1;0;1;Fim_de_jogo
1;1;1;-1;0;-1;0;-1;1;Fim_de_jogo
1;1;1;-1;0;0;-1;-1;1;Fim_de_jogo
1;1;1;-1;-1;0;0;0;0;Fim_de_jogo
1;1;1;-1;0;-1;0;0;0;Fim_de_jogo
1;1;1;-1;0;0;-1;0;0;Fim_de_jogo
1;1;1;-1;0;0;0;-1;0;Fim_de_jogo
1;1;1;-1;0;0;0;0;-1;Fim_de_jogo
1;0;1;0;-1;1;-1;-1;1;Fim_de_jogo
1;1;1;0;-1;1;-1;-1;0;Fim_de_jogo
1;1;0;1;-1;1;-1;-1;-1;Fim_de_jogo
1;1;1;0;-1;1;-1;0;-1;Fim_de_jogo
1;0;1;1;-1;1;-1;-1;-1;Fim_de_jogo
1;1;1;0;-1;1;0;-1;-1;Fim_de_jogo
1;0;0;1;-1;1;1;-1;-1;Fim_de_jogo
1;0;0;1;-1;-1;1;-1;1;Fim_de_jogo
1;1;1;0;-1;-1;1;-1;0;Fim_de_jogo
1;1;0;1;-1;-1;1;-1;0;Fim_de_jogo
1;1;1;0;-1;0;1;-1;-1;Fim_de_jogo
1;1;0;1;-1;0;1;-1;-1;Fim_de_jogo
1;0;1;1;-1;-1;1;-1;0;Fim_de_jogo
1;0;1;1;-1;0;1;-1;-1;Fim_de_jogo
1;0;0;1;-1;0;1;-1;0;Fim_de_jogo
1;1;1;0;-1;-1;1;0;-1;Fim_de_jogo
1;1;0;1;-1;-1;1;0;-1;Fim_de_jogo
1;0;1;1;-1;-1;1;0;-1;Fim_de_jogo
1;0;0;1;-1;0;1;0;-1;Fim_de_jogo
1;0;0;1;-1;-1;1;1;-1;Fim_de_jogo
1;0;0;1;-1;-1;1;0;0;Fim_de_jogo
1;1;1;0;-1;-1;0;1;-1;Fim_de_jogo
1;1;1;1;-1;-1;-1;1;-1;Fim_de_jogo
1;1;1;0;-1;0;-1;1;-1;Fim_de_jogo
1;1;1;0;-1;-1;-1;1;0;Fim_de_jogo
1;1;1;0;-1;-1;-1;0;1;Fim_de_jogo
1;1;1;1;-1;-1;-1;-1;1;Fim_de_jogo
1;1;1;0;-1;-1;0;-1;1;Fim_de_jogo
1;1;1;0;-1;0;-1;-1;1;Fim_de_jogo
1;1;1;0;-1;-1;0;0;0;Fim_de_jogo
1;1;1;1;-1;-1;-1;0;0;Fim_de_jogo
1;1;1;1;-1;-1;0;-1;0;Fim_de_jogo
1;1;1;1;-1;-1;0;0;-1;Fim_de_jogo
1;1;1;0;-1;0;-1;0;0;Fim_de_jogo
1;1;1;1;-1;0;-1;-1;0;Fim_de_jogo
1;1;1;1;-1;0;-1;0;-1;Fim_de_jogo
1;1;1;0;-1;0;0;-1;0;Fim_de_jogo
1;1;1;1;-1;0;0;-1;-1;Fim_de_jogo
1;1;1;0;-1;0;0;0;-1;Fim_de_jogo
1;1;1;0;0;-1;1;-1;-1;Fim_de_jogo
1;1;0;1;0;-1;1;-1;-1;Fim_de_jogo
1;0;1;1;0;-1;1;-1;-1;Fim_de_jogo
1;0;1;0;1;-1;1;-1;-1;Fim_de_jogo
1;0;0;1;0;-1;1;-1;0;Fim_de_jogo
1;0;0;1;1;-1;1;-1;-1;Fim_de_jogo
1;0;0;1;0;-1;1;0;-1;Fim_de_jogo
1;1;1;0;0;-1;-1;1;-1;Fim_de_jogo
1;1;0;0;1;-1;-1;1;-1;Fim_de_jogo
1;1;1;0;0;-1;-1;-1;1;Fim_de_jogo
1;1;0;0;1;-1;-1;-1;1;Fim_de_jogo
1;0;1;0;1;-1;-1;-1;1;Fim_de_jogo
1;0;0;1;1;-1;-1;-1;1;Fim_de_jogo
1;0;0;0;1;-1;-1;0;1;Fim_de_jogo
1;0;0;0;1;-1;0;-1;1;Fim_de_jogo
1;1;1;0;0;-1;-1;0;0;Fim_de_jogo
1;1;1;1;0;-1;-1;-1;0;Fim_de_jogo
1;1;0;1;1;-1;-1;-1;-1;Fim_de_jogo
1;1;1;1;0;-1;-1;0;-1;Fim_de_jogo
1;1;1;0;1;-1;-1;-1;0;Fim_de_jogo
1;1;1;0;1;-1;-1;0;-1;Fim_de_jogo
1;1;1;0;0;-1;0;-1;0;Fim_de_jogo
1;1;1;1;0;-1;0;-1;-1;Fim_de_jogo
1;1;1;0;1;-1;0;-1;-1;Fim_de_jogo
1;1;1;0;0;-1;0;0;-1;Fim_de_jogo
1;0;1;1;1;-1;-1;-1;-1;Fim_de_jogo
1;0;0;0;1;0;-1;-1;1;Fim_de_jogo
1;1;1;0;0;0;-1;-1;0;Fim_de_jogo
1;1;0;1;0;0;-1;-1;-1;Fim_de_jogo
1;1;0;0;1;0;-1;-1;-1;Fim_de_jogo
1;1;0;0;0;1;-1;-1;-1;Fim_de_jogo
1;1;1;0;0;0;-1;0;-1;Fim_de_jogo
1;0;1;1;0;0;-1;-1;-1;Fim_de_jogo
1;0;1;0;1;0;-1;-1;-1;Fim_de_jogo
1;0;1;0;0;1;-1;-1;-1;Fim_de_jogo
1;0;0;1;1;0;-1;-1;-1;Fim_de_jogo
1;0;0;1;0;1;-1;-1;-1;Fim_de_jogo
1;0;0;0;1;1;-1;-1;-1;Fim_de_jogo
1;1;1;0;0;0;0;-1;-1;Fim_de_jogo
1;0;0;1;0;0;1;-1;-1;Fim_de_jogo
0;1;-1;1;-1;1;-1;0;0;Fim_de_jogo
-1;1;-1;1;-1;1;1;-1;1;Fim_de_jogo
0;1;-1;1;-1;1;-1;-1;1;Fim_de_jogo
-1;1;-1;1;-1;1;1;0;-1;Fim_de_jogo
-1;1;-1;1;-1;1;0;1;-1;Fim_de_jogo
0;1;-1;1;-1;1;-1;1;-1;Fim_de_jogo
-1;1;-1;1;-1;1;-1;1;0;Fim_de_jogo
-1;1;-1;1;-1;1;-1;0;1;Fim_de_jogo
-1;1;-1;1;-1;0;1;1;-1;Fim_de_jogo
0;1;-1;1;-1;-1;1;1;-1;Fim_de_jogo
-1;1;-1;1;-1;-1;1;1;1;Fim_de_jogo
-1;1;-1;1;-1;0;-1;1;1;Fim_de_jogo
0;1;-1;1;-1;-1;-1;1;1;Fim_de_jogo
0;1;-1;1;-1;0;-1;1;0;Fim_de_jogo
0;1;-1;1;-1;0;-1;0;1;Fim_de_jogo
-1;1;-1;1;1;-1;1;-1;1;Fim_de_jogo
0;1;-1;1;1;-1;1;-1;-1;Fim_de_jogo
0;1;-1;1;0;-1;1;0;-1;Fim_de_jogo
-1;1;-1;1;1;-1;1;0;-1;Fim_de_jogo
-1;1;-1;1;0;-1;1;1;-1;Fim_de_jogo
0;1;-1;1;0;-1;0;1;-1;Fim_de_jogo
-1;1;-1;1;1;-1;0;1;0;Fim_de_jogo
-1;1;-1;1;1;-1;-1;1;1;Fim_de_jogo
0;1;-1;1;1;-1;-1;1;0;Fim_de_jogo
0;1;-1;1;1;-1;0;0;-1;Fim_de_jogo
0;1;-1;1;1;0;-1;1;-1;Fim_de_jogo
-1;1;-1;1;1;1;-1;1;-1;Fim_de_jogo
-1;1;-1;1;1;0;-1;1;0;Fim_de_jogo
-1;1;-1;1;1;1;-1;-1;1;Fim_de_jogo
0;1;-1;1;1;1;-1;-1;0;Fim_de_jogo
0;1;-1;1;1;1;-1;0;-1;Fim_de_jogo
